Date,Name,Year,Letterboxd URI,Rating
2023-02-24,God Help the Girl,2014,https://boxd.it/7dCq,3
2023-02-24,The Silence of the Lambs,1991,https://boxd.it/2aHW,3.5
2023-02-24,The Fabelmans,2022,https://boxd.it/ugoM,3.5
2023-02-24,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2023-02-27,The Whale,2022,https://boxd.it/tw4c,3.5
2023-03-05,Close,2022,https://boxd.it/y4qa,3.5
2023-03-05,Broker,2022,https://boxd.it/rDUU,3
2023-03-05,Calvary,2014,https://boxd.it/4WE6,3.5
2023-03-05,A Man Called Otto,2022,https://boxd.it/zl06,3.5
2023-03-05,Babylon,2022,https://boxd.it/mM02,3.5
2023-03-06,Avatar,2009,https://boxd.it/1Efm,3
2023-03-06,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,3
2023-03-12,Fantastic Planet,1973,https://boxd.it/1KnQ,3.5
2023-03-27,The Man Who Killed Don Quixote,2018,https://boxd.it/9rkY,3.5
2023-04-03,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,4
2023-04-03,Train to Busan,2016,https://boxd.it/dSQU,3.5
2023-04-09,Air,2023,https://boxd.it/Arlc,3
2023-04-09,Rye Lane,2023,https://boxd.it/DIyy,4
2023-04-10,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,4
2023-04-13,Ponyo,2008,https://boxd.it/1S0A,3
2023-04-14,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A,3.5
2023-04-21,Renfield,2023,https://boxd.it/o8vy,2.5
2023-04-25,Stephen Merchant: Hello Ladies... Live!,2011,https://boxd.it/2J5e,3.5
2023-04-25,Tooth Fairy,2010,https://boxd.it/1zKE,3
2023-04-25,The Martian,2015,https://boxd.it/8SeG,3.5
2023-04-25,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,3.5
2023-04-25,The Suicide Squad,2021,https://boxd.it/fw6O,3.5
